uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
conceptscheme:bekistingsmateriaal,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.bekistingsmateriaal,,bekistingsmaterialen,Conceptschema van bekistingsmaterialen.,,,,,,,,,,,,,,,,,,,,
collectie:bekistingsmaterialen,be.vlaanderen.bodemenondergrond.data.id.collection.bekistingsmateriaal.bekistingsmaterialen,,collectie_bekistingsmaterialen,Collectie van bekistingsmaterialen.,,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,
concept:9,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.9,collectie:bekistingsmaterialen,9,beton,,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
concept:7,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.7,collectie:bekistingsmaterialen,7,geen filterbuis aanwezig,,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
concept:3,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.3,collectie:bekistingsmaterialen,3,gegalvaniseerd staal,,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
concept:5,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.5,collectie:bekistingsmaterialen,5,glasvezel,,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
concept:11,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.11,collectie:bekistingsmaterialen,11,HDPE,,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
concept:6,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.6,collectie:bekistingsmaterialen,6,"inox, zonder verdere precisering",,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
concept:10,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.10,collectie:bekistingsmaterialen,10,metselwerk,,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
concept:0,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.0,collectie:bekistingsmaterialen,0,onbekend,,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
concept:8,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.8,collectie:bekistingsmaterialen,8,polyethyleen,,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
concept:1,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.1,collectie:bekistingsmaterialen,1,PVC,,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
concept:2,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.2,collectie:bekistingsmaterialen,2,roestvrij staal,,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
concept:4,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.4,collectie:bekistingsmaterialen,4,"staal, zonder verdere precisering",,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
concept:12,be.vlaanderen.bodemenondergrond.data.id.concept.bekistingsmateriaal.12,collectie:bekistingsmaterialen,12,straatpot,,,,,,,,,,,,,conceptscheme:bekistingsmateriaal,,,,,,,conceptscheme:bekistingsmateriaal
